"STATION","NAME","DATE","WT01","WT02","WT03","WT08"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-06",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-07",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-08",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-09","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-10","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-11",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-12","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-13","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-14","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-15",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-16",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-17","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-18",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-19",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-20","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-21","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-22","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-23","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-24","    1","    1",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-25","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-26","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-27","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-28","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-29","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-09-30",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-10-01",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-10-02","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-10-03","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-10-04","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-10-05","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-10-06","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-10-07","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-10-08",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-10-09",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-10-10",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-10-11",,,,
